TIMESTAMP,HR,HRV,GSR
05_09-08_38_27.435252,00,330.00
05_09-08_38_27.435252,242.00,320.00
05_09-08_38_27.435252,244.00,307.00
05_09-08_38_27.450856,243.00,355.00
05_09-08_38_27.450856,245.00,474.00
05_09-08_38_27.450856,243.00,512.00
05_09-08_38_27.450856,244.00,511.00
05_09-08_38_27.466495,244.00,511.00
05_09-08_38_29.082132,250.00,432.00
05_09-08_38_29.144639,248.00,371.00
05_09-08_38_29.207083,251.00,336.00
05_09-08_38_29.253952,248.00,302.00
05_09-08_38_29.316422,251.00,272.00
05_09-08_38_29.347702,248.00,253.00
05_09-08_38_29.410192,250.00,244.00
05_09-08_38_29.457036,248.00,236.00
05_09-08_38_29.503918,249.00,245.00
05_09-08_38_29.555733,248.00,253.00
05_09-08_38_29.602679,248.00,286.00
05_09-08_38_29.665122,248.00,443.00
05_09-08_38_29.711993,248.00,515.00
05_09-08_38_29.758836,248.00,514.00
05_09-08_38_29.805789,247.00,513.00
05_09-08_38_29.868234,249.00,519.00
05_09-08_38_29.915104,247.00,513.00
05_09-08_38_29.961974,250.00,514.00
05_09-08_38_30.008821,247.00,518.00
05_09-08_38_30.102568,250.00,509.00
05_09-08_38_30.118215,247.00,494.00
05_09-08_38_30.165085,249.00,462.00
05_09-08_38_30.212013,247.00,426.00
05_09-08_38_30.274457,248.00,390.00
05_09-08_38_30.321298,247.00,360.00
05_09-08_38_30.368195,247.00,339.00
05_09-08_38_30.415075,247.00,317.00
05_09-08_38_30.477565,246.00,348.00
05_09-08_38_30.524436,248.00,498.00
05_09-08_38_30.571307,246.00,514.00
05_09-08_38_30.618235,248.00,516.00
05_09-08_38_30.665027,246.00,516.00
05_09-08_38_30.727547,248.00,513.00
05_09-08_38_30.774417,246.00,513.00
05_09-08_38_30.821267,248.00,514.00
05_09-08_38_30.868216,246.00,517.00
05_09-08_38_30.930658,247.00,503.00
05_09-08_38_30.977528,246.00,480.00
05_09-08_38_31.024372,247.00,440.00
05_09-08_38_31.071317,246.00,397.00
05_09-08_38_31.133768,246.00,368.00
05_09-08_38_31.180640,246.00,352.00
05_09-08_38_31.227510,246.00,335.00
05_09-08_38_31.274439,247.00,418.00
05_09-08_38_31.336880,246.00,516.00
05_09-08_38_31.383723,248.00,519.00
05_09-08_38_31.430678,245.00,514.00
05_09-08_38_31.477550,248.00,518.00
05_09-08_38_31.539990,246.00,516.00
05_09-08_38_31.586860,248.00,512.00
05_09-08_38_31.633732,246.00,513.00
05_09-08_38_31.680660,247.00,499.00
05_09-08_38_31.743100,246.00,487.00
05_09-08_38_31.789971,246.00,452.00
05_09-08_38_31.836820,245.00,412.00
05_09-08_38_31.883771,245.00,367.00
05_09-08_38_31.946212,246.00,344.00
05_09-08_38_31.993082,245.00,451.00
05_09-08_38_32.039953,246.00,514.00
05_09-08_38_32.086804,245.00,514.00
05_09-08_38_32.149323,247.00,516.00
05_09-08_38_32.196194,245.00,516.00
05_09-08_38_32.243042,246.00,498.00
05_09-08_38_32.289992,245.00,491.00
05_09-08_38_32.336821,246.00,472.00
05_09-08_38_32.399303,245.00,443.00
05_09-08_38_32.446147,246.00,407.00
05_09-08_38_32.493025,245.00,378.00
05_09-08_38_32.555544,245.00,354.00
05_09-08_38_32.602415,244.00,356.00
05_09-08_38_32.649287,245.00,468.00
05_09-08_38_32.696213,245.00,513.00
05_09-08_38_32.743085,245.00,516.00
05_09-08_38_32.805525,245.00,512.00
05_09-08_38_32.852396,244.00,509.00
05_09-08_38_32.899267,245.00,497.00
05_09-08_38_32.961765,244.00,479.00
05_09-08_38_33.008612,245.00,450.00
05_09-08_38_33.039925,243.00,419.00
05_09-08_38_33.102356,245.00,386.00
05_09-08_38_33.149306,244.00,353.00
05_09-08_38_33.211746,244.00,344.00
05_09-08_38_33.258617,244.00,434.00
05_09-08_38_33.305488,244.00,513.00
05_09-08_38_33.367966,243.00,513.00
05_09-08_38_33.417673,243.00,512.00
05_09-08_38_33.467224,243.00,506.00
05_09-08_38_33.514095,243.00,491.00
05_09-08_38_33.560966,244.00,463.00
05_09-08_38_33.607894,243.00,436.00
05_09-08_38_33.670336,244.00,400.00
05_09-08_38_33.717206,242.00,363.00
05_09-08_38_33.764077,243.00,335.00
05_09-08_38_33.810927,242.00,305.00
05_09-08_38_33.857864,244.00,359.00
05_09-08_38_33.920317,242.00,486.00
05_09-08_38_33.967189,243.00,514.00
05_09-08_38_34.014032,242.00,514.00
05_09-08_38_34.076557,242.00,508.00
05_09-08_38_34.123428,242.00,485.00
05_09-08_38_34.170299,241.00,453.00
05_09-08_38_34.217150,242.00,429.00
05_09-08_38_34.264098,241.00,407.00
05_09-08_38_34.326538,243.00,382.00
05_09-08_38_34.373410,241.00,345.00
05_09-08_38_34.420281,243.00,314.00
05_09-08_38_34.485916,241.00,334.00
05_09-08_38_34.514537,243.00,468.00
05_09-08_38_34.576991,241.00,514.00
05_09-08_38_34.623862,243.00,514.00
05_09-08_38_34.670796,241.00,513.00
05_09-08_38_34.733231,242.00,511.00
05_09-08_38_34.780102,241.00,496.00
05_09-08_38_34.826974,241.00,475.00
05_09-08_38_34.873903,241.00,451.00
05_09-08_38_34.936343,241.00,416.00
05_09-08_38_34.983213,241.00,381.00
05_09-08_38_35.030058,241.00,343.00
05_09-08_38_35.076935,242.00,314.00
