TIMESTAMP,HR,HRV,GSR
05_06-11_39_37.455051,489.00,987.00
05_06-11_39_37.470676,484.00,864.00
05_06-11_39_37.470676,485.00,551.00
05_06-11_39_37.470676,484.00,428.00
05_06-11_39_37.470676,485.00,283.00
05_06-11_39_37.486298,485.00,155.00
05_06-11_39_37.486298,485.00,875.00
05_06-11_39_37.486298,489.00,987.00
05_06-11_39_37.486298,484.00,864.00
05_06-11_39_37.501940,485.00,551.00
05_06-11_39_37.501940,484.00,428.00
05_06-11_39_37.501940,485.00,283.00
05_06-11_39_37.517564,485.00,155.00
05_06-11_39_37.517564,485.00,875.00
05_06-11_39_37.517564,489.00,987.00
05_06-11_39_37.517564,484.00,864.00
05_06-11_39_37.533170,485.00,551.00
05_06-11_39_37.533170,484.00,428.00
05_06-11_39_37.533170,485.00,283.00
05_06-11_39_37.548795,485.00,155.00
05_06-11_39_39.089499,497.00,146.00
05_06-11_39_39.152020,494.00,136.00
05_06-11_39_39.198863,495.00,125.00
05_06-11_39_39.245761,494.00,121.00
05_06-11_39_39.308231,495.00,987.00
05_06-11_39_39.355102,496.00,987.00
05_06-11_39_39.401974,493.00,986.00
05_06-11_39_39.448925,496.00,987.00
05_06-11_39_39.495800,489.00,502.00
05_06-11_39_39.558213,496.00,625.00
05_06-11_39_39.605084,490.00,535.00
05_06-11_39_39.651961,494.00,379.00
05_06-11_39_39.714461,488.00,512.00
05_06-11_39_39.761324,491.00,328.00
05_06-11_39_39.808195,489.00,192.00
05_06-11_39_39.855153,491.00,975.00
05_06-11_39_39.902021,486.00,822.00
05_06-11_39_39.964443,487.00,88.00
05_06-11_39_40.011308,488.00,986.00
05_06-11_39_40.058183,486.00,986.00
05_06-11_39_40.120673,488.00,986.00
05_06-11_39_40.167572,485.00,985.00
05_06-11_39_40.214416,488.00,791.00
05_06-11_39_40.261315,481.00,123.00
05_06-11_39_40.308239,486.00,136.00
05_06-11_39_40.370655,480.00,133.00
05_06-11_39_40.417527,484.00,154.00
05_06-11_39_40.464398,479.00,235.00
05_06-11_39_40.511311,484.00,472.00
05_06-11_39_40.573767,480.00,618.00
05_06-11_39_40.620646,483.00,986.00
05_06-11_39_40.667536,480.00,978.00
05_06-11_39_40.714464,479.00,988.00
05_06-11_39_40.776877,481.00,986.00
05_06-11_39_40.823748,478.00,988.00
05_06-11_39_40.870620,482.00,986.00
05_06-11_39_40.917575,477.00,926.00
05_06-11_39_40.964446,480.00,459.00
05_06-11_39_41.026859,478.00,596.00
05_06-11_39_41.073730,482.00,713.00
