TIMESTAMP,HR,HRV,GSR
05_03-10_42_00.181238,386.00,542.00
05_03-10_42_00.238439,385.00,544.00
05_03-10_42_00.287620,384.00,532.00
05_03-10_42_00.336754,385.00,544.00
05_03-10_42_00.381882,388.00,541.00
05_03-10_42_00.435417,385.00,543.00
05_03-10_42_00.484953,387.00,534.00
05_03-10_42_00.538457,384.00,544.00
05_03-10_42_00.578656,389.00,542.00
05_03-10_42_00.628722,382.00,529.00
05_03-10_42_00.688448,388.00,533.00
05_03-10_42_00.739132,385.00,541.00
05_03-10_42_00.788027,386.00,529.00
05_03-10_42_00.841035,383.00,530.00
05_03-10_42_00.889863,385.00,531.00
05_03-10_42_00.943162,383.00,534.00
05_03-10_42_00.992296,383.00,533.00
05_03-10_42_01.041256,386.00,537.00
05_03-10_42_01.094682,382.00,530.00
05_03-10_42_01.143959,386.00,527.00
05_03-10_42_01.193253,382.00,527.00
05_03-10_42_01.247038,387.00,529.00
05_03-10_42_01.296011,384.00,540.00
05_03-10_42_01.348359,390.00,534.00
05_03-10_42_01.397881,383.00,527.00
05_03-10_42_01.446975,387.00,528.00
05_03-10_42_01.500327,382.00,525.00
05_03-10_42_01.549119,385.00,529.00
05_03-10_42_01.599184,382.00,527.00
05_03-10_42_01.652155,385.00,538.00
05_03-10_42_01.701359,385.00,536.00
05_03-10_42_01.755170,382.00,528.00
05_03-10_42_01.803951,384.00,529.00
05_03-10_42_01.853026,382.00,527.00
05_03-10_42_01.905723,388.00,539.00
05_03-10_42_01.954896,381.00,526.00
05_03-10_42_02.005043,387.00,530.00
05_03-10_42_02.057471,382.00,526.00
05_03-10_42_02.106367,387.00,527.00
05_03-10_42_02.159805,382.00,526.00
05_03-10_42_02.200833,387.00,538.00
05_03-10_42_02.250992,382.00,531.00
05_03-10_42_02.310978,383.00,524.00
05_03-10_42_02.362849,383.00,521.00
05_03-10_42_02.408560,383.00,526.00
05_03-10_42_02.462790,384.00,513.00
05_03-10_42_02.511946,382.00,502.00
05_03-10_42_02.565844,385.00,458.00
05_03-10_42_02.614269,381.00,409.00
05_03-10_42_02.662972,386.00,366.00
05_03-10_42_02.716469,381.00,339.00
05_03-10_42_02.766470,386.00,318.00
05_03-10_42_02.816099,380.00,391.00
05_03-10_42_02.868101,385.00,525.00
05_03-10_42_02.917331,381.00,524.00
05_03-10_42_02.965431,384.00,525.00
05_03-10_42_03.018785,381.00,526.00
05_03-10_42_03.068487,382.00,503.00
05_03-10_42_03.121262,381.00,450.00
05_03-10_42_03.170404,381.00,391.00
05_03-10_42_03.220765,383.00,344.00
05_03-10_42_03.273327,381.00,311.00
