TIMESTAMP,HR,HRV,GSR
05_07-10_46_34.467542,26.00,542.00
05_07-10_46_36.135313,25.00,504.00
05_07-10_46_36.187445,27.00,512.00
05_07-10_46_36.236345,25.00,444.00
05_07-10_46_36.285529,27.00,401.00
05_07-10_46_36.339346,26.00,440.00
05_07-10_46_36.388636,27.00,414.00
05_07-10_46_36.437661,25.00,395.00
05_07-10_46_36.491153,27.00,417.00
05_07-10_46_36.540445,25.00,404.00
05_07-10_46_36.589726,26.00,408.00
05_07-10_46_36.642593,25.00,462.00
05_07-10_46_36.692093,26.00,515.00
05_07-10_46_36.744750,26.00,542.00
05_07-10_46_36.795288,26.00,557.00
05_07-10_46_36.843685,27.00,521.00
05_07-10_46_36.897359,26.00,512.00
05_07-10_46_36.946552,28.00,460.00
05_07-10_46_36.995278,26.00,480.00
05_07-10_46_37.048552,28.00,465.00
05_07-10_46_37.098608,26.00,446.00
05_07-10_46_37.151265,28.00,447.00
05_07-10_46_37.200471,26.00,426.00
05_07-10_46_37.249188,27.00,455.00
05_07-10_46_37.302506,26.00,460.00
05_07-10_46_37.351792,27.00,514.00
05_07-10_46_37.397162,26.00,557.00
05_07-10_46_37.453721,26.00,537.00
05_07-10_46_37.503082,26.00,540.00
05_07-10_46_37.552924,26.00,513.00
05_07-10_46_37.606047,27.00,495.00
05_07-10_46_37.655191,26.00,486.00
05_07-10_46_37.709452,28.00,498.00
05_07-10_46_37.757577,26.00,451.00
05_07-10_46_37.806760,28.00,418.00
05_07-10_46_37.860415,26.00,439.00
05_07-10_46_37.909631,28.00,445.00
05_07-10_46_37.958839,26.00,453.00
05_07-10_46_38.011870,27.00,493.00
05_07-10_46_38.060773,26.00,542.00
05_07-10_46_38.114221,27.00,544.00
05_07-10_46_38.163093,26.00,538.00
05_07-10_46_38.213451,26.00,535.00
05_07-10_46_38.266554,26.00,548.00
05_07-10_46_38.315273,26.00,526.00
05_07-10_46_38.364812,27.00,520.00
05_07-10_46_38.416918,26.00,504.00
05_07-10_46_38.532668,28.00,465.00
05_07-10_46_38.545633,26.00,441.00
05_07-10_46_38.568990,28.00,450.00
05_07-10_46_38.617851,26.00,434.00
05_07-10_46_38.671259,28.00,479.00
05_07-10_46_38.720492,26.00,548.00
05_07-10_46_38.769927,27.00,544.00
05_07-10_46_38.817043,26.00,538.00
05_07-10_46_38.872164,27.00,539.00
05_07-10_46_38.921406,27.00,539.00
05_07-10_46_38.974569,26.00,543.00
05_07-10_46_39.023813,26.00,502.00
05_07-10_46_39.076646,26.00,464.00
05_07-10_46_39.126030,27.00,428.00
05_07-10_46_39.176225,26.00,437.00
05_07-10_46_39.222601,28.00,432.00
05_07-10_46_39.278276,26.00,409.00
05_07-10_46_39.327472,28.00,424.00
05_07-10_46_39.380024,26.00,547.00
05_07-10_46_39.429385,28.00,548.00
05_07-10_46_39.478364,26.00,539.00
05_07-10_46_39.532207,27.00,539.00
05_07-10_46_39.580820,26.00,538.00
05_07-10_46_39.634169,27.00,514.00
05_07-10_46_39.683656,26.00,503.00
05_07-10_46_39.809993,26.00,440.00
05_07-10_46_39.823956,26.00,424.00
05_07-10_46_39.836955,26.00,417.00
05_07-10_46_39.884262,27.00,450.00
05_07-10_46_39.937530,26.00,420.00
05_07-10_46_39.986745,28.00,476.00
05_07-10_46_40.040164,26.00,541.00
05_07-10_46_40.089286,28.00,542.00
05_07-10_46_40.138428,26.00,537.00
05_07-10_46_40.191987,28.00,534.00
05_07-10_46_40.240750,26.00,543.00
05_07-10_46_40.290540,28.00,543.00
05_07-10_46_40.343598,26.00,497.00
05_07-10_46_40.392811,27.00,461.00
05_07-10_46_40.446086,26.00,459.00
05_07-10_46_40.495096,26.00,420.00
05_07-10_46_40.544447,26.00,387.00
05_07-10_46_40.597422,26.00,379.00
05_07-10_46_40.646502,27.00,498.00
05_07-10_46_40.696065,26.00,543.00
05_07-10_46_40.748754,28.00,550.00
05_07-10_46_40.797728,26.00,543.00
05_07-10_46_40.848185,28.00,544.00
05_07-10_46_40.900248,26.00,534.00
05_07-10_46_40.949290,28.00,510.00
05_07-10_46_41.002900,26.00,528.00
05_07-10_46_41.052223,28.00,480.00
05_07-10_46_41.101664,27.00,463.00
05_07-10_46_41.146870,27.00,418.00
05_07-10_46_41.203701,26.00,449.00
05_07-10_46_41.253178,26.00,402.00
05_07-10_46_41.305861,27.00,447.00
05_07-10_46_41.356017,26.00,543.00
05_07-10_46_41.408373,28.00,546.00
05_07-10_46_41.458033,26.00,539.00
05_07-10_46_41.507066,28.00,546.00
05_07-10_46_41.559987,26.00,531.00
05_07-10_46_41.609415,28.00,537.00
05_07-10_46_41.687881,26.00,488.00
05_07-10_46_41.711530,28.00,452.00
05_07-10_46_41.761001,26.00,439.00
05_07-10_46_41.810175,28.00,393.00
05_07-10_46_41.864418,26.00,362.00
05_07-10_46_41.913067,27.00,347.00
05_07-10_46_41.965336,26.00,342.00
05_07-10_46_42.015471,26.00,419.00
05_07-10_46_42.064629,27.00,559.00
05_07-10_46_42.117777,26.00,547.00
05_07-10_46_42.166306,27.00,547.00
05_07-10_46_42.216354,26.00,543.00
05_07-10_46_42.268739,28.00,558.00
05_07-10_46_42.319357,26.00,538.00
05_07-10_46_42.371050,28.00,530.00
05_07-10_46_42.420367,26.00,465.00
05_07-10_46_42.469956,28.00,483.00
05_07-10_46_42.522413,26.00,435.00
05_07-10_46_42.573586,28.00,371.00
05_07-10_46_42.621698,26.00,386.00
05_07-10_46_42.675357,27.00,397.00
05_07-10_46_42.724159,26.00,411.00
05_07-10_46_42.773262,26.00,506.00
05_07-10_46_42.826739,26.00,544.00
05_07-10_46_42.875589,26.00,542.00
05_07-10_46_42.928159,27.00,541.00
05_07-10_46_42.978475,26.00,535.00
05_07-10_46_43.023169,28.00,538.00
05_07-10_46_43.080671,26.00,547.00
05_07-10_46_43.130066,28.00,507.00
05_07-10_46_43.178802,26.00,503.00
05_07-10_46_43.232009,28.00,508.00
05_07-10_46_43.281690,26.00,450.00
05_07-10_46_43.334164,28.00,405.00
05_07-10_46_43.383643,26.00,337.00
05_07-10_46_43.432940,27.00,344.00
05_07-10_46_43.485616,26.00,484.00
05_07-10_46_43.534978,27.00,542.00
05_07-10_46_43.584374,27.00,548.00
05_07-10_46_43.637385,26.00,549.00
05_07-10_46_43.687030,27.00,557.00
05_07-10_46_43.739934,26.00,555.00
05_07-10_46_43.791320,28.00,531.00
05_07-10_46_43.838256,26.00,526.00
05_07-10_46_43.891507,28.00,507.00
05_07-10_46_43.941200,26.00,481.00
05_07-10_46_43.990516,28.00,433.00
05_07-10_46_44.043315,26.00,356.00
05_07-10_46_44.092675,27.00,345.00
05_07-10_46_44.142049,26.00,340.00
05_07-10_46_44.194973,27.00,341.00
05_07-10_46_44.244456,26.00,490.00
05_07-10_46_44.297015,26.00,545.00
05_07-10_46_44.347153,26.00,542.00
05_07-10_46_44.395357,26.00,546.00
05_07-10_46_44.448543,27.00,542.00
05_07-10_46_44.497745,26.00,546.00
05_07-10_46_44.547394,28.00,536.00
05_07-10_46_44.599974,26.00,491.00
05_07-10_46_44.649192,28.00,522.00
05_07-10_46_44.702159,26.00,499.00
05_07-10_46_44.751923,28.00,432.00
05_07-10_46_44.801058,26.00,390.00
05_07-10_46_44.855058,28.00,337.00
05_07-10_46_44.904389,26.00,390.00
05_07-10_46_44.952752,27.00,325.00
05_07-10_46_45.000803,26.00,431.00
05_07-10_46_45.055648,27.00,541.00
05_07-10_46_45.104471,26.00,545.00
05_07-10_46_45.158206,26.00,540.00
05_07-10_46_45.206833,27.00,541.00
05_07-10_46_45.260839,26.00,540.00
05_07-10_46_45.309379,28.00,516.00
05_07-10_46_45.358370,26.00,549.00
05_07-10_46_45.412495,28.00,511.00
05_07-10_46_45.461296,26.00,434.00
05_07-10_46_45.510021,28.00,444.00
05_07-10_46_45.563100,26.00,379.00
05_07-10_46_45.612849,28.00,341.00
05_07-10_46_45.666153,26.00,388.00
05_07-10_46_45.715266,28.00,341.00
05_07-10_46_45.764088,26.00,433.00
05_07-10_46_45.817187,27.00,546.00
05_07-10_46_45.866793,26.00,545.00
05_07-10_46_45.916252,26.00,545.00
05_07-10_46_45.969239,27.00,546.00
05_07-10_46_46.031223,26.00,547.00
05_07-10_46_46.068392,28.00,533.00
05_07-10_46_46.120864,27.00,548.00
05_07-10_46_46.170002,28.00,497.00
05_07-10_46_46.222924,26.00,492.00
05_07-10_46_46.272310,28.00,464.00
05_07-10_46_46.322519,26.00,428.00
05_07-10_46_46.375391,28.00,434.00
05_07-10_46_46.424599,26.00,407.00
05_07-10_46_46.472960,28.00,493.00
05_07-10_46_46.526681,27.00,545.00
05_07-10_46_46.575923,27.00,549.00
05_07-10_46_46.628955,27.00,544.00
05_07-10_46_46.678245,26.00,536.00
05_07-10_46_46.730567,27.00,536.00
05_07-10_46_46.774989,27.00,513.00
05_07-10_46_46.830326,28.00,528.00
05_07-10_46_46.879560,27.00,527.00
05_07-10_46_46.931833,28.00,474.00
05_07-10_46_46.981189,26.00,450.00
05_07-10_46_47.034017,28.00,362.00
05_07-10_46_47.083307,27.00,397.00
05_07-10_46_47.133932,28.00,339.00
05_07-10_46_47.186006,26.00,413.00
05_07-10_46_47.235239,27.00,461.00
05_07-10_46_47.284396,26.00,545.00
05_07-10_46_47.337812,27.00,544.00
05_07-10_46_47.387447,27.00,545.00
05_07-10_46_47.435505,27.00,542.00
05_07-10_46_47.489561,27.00,544.00
05_07-10_46_47.538542,27.00,557.00
05_07-10_46_47.591681,28.00,502.00
05_07-10_46_47.640984,27.00,519.00
05_07-10_46_47.690116,28.00,452.00
05_07-10_46_47.742871,27.00,478.00
05_07-10_46_47.792482,28.00,385.00
05_07-10_46_47.841848,27.00,410.00
05_07-10_46_47.894793,28.00,347.00
05_07-10_46_47.944094,27.00,390.00
05_07-10_46_47.997016,28.00,540.00
05_07-10_46_48.046353,27.00,545.00
05_07-10_46_48.095161,27.00,551.00
05_07-10_46_48.148345,27.00,541.00
05_07-10_46_48.197560,27.00,537.00
05_07-10_46_48.247685,28.00,523.00
05_07-10_46_48.300195,27.00,458.00
05_07-10_46_48.350191,27.00,504.00
05_07-10_46_48.399275,27.00,414.00
05_07-10_46_48.451657,29.00,466.00
05_07-10_46_48.506424,27.00,369.00
05_07-10_46_48.554870,29.00,432.00
05_07-10_46_48.603049,27.00,444.00
05_07-10_46_48.652211,28.00,315.00
05_07-10_46_48.706693,27.00,384.00
05_07-10_46_48.755058,28.00,520.00
05_07-10_46_48.804280,27.00,548.00
05_07-10_46_48.857326,28.00,538.00
05_07-10_46_48.907925,27.00,548.00
05_07-10_46_48.959659,27.00,549.00
05_07-10_46_49.008944,27.00,491.00
05_07-10_46_49.059253,27.00,543.00
05_07-10_46_49.111193,28.00,468.00
05_07-10_46_49.161598,27.00,517.00
05_07-10_46_49.210298,28.00,530.00
05_07-10_46_49.262879,27.00,509.00
05_07-10_46_49.312665,29.00,473.00
05_07-10_46_49.362794,27.00,445.00
05_07-10_46_49.416138,28.00,438.00
05_07-10_46_49.464145,27.00,543.00
05_07-10_46_49.517597,28.00,544.00
05_07-10_46_49.566536,27.00,544.00
05_07-10_46_49.609608,27.00,554.00
05_07-10_46_49.669105,27.00,533.00
05_07-10_46_49.717582,27.00,448.00
05_07-10_46_49.767003,27.00,526.00
05_07-10_46_49.820944,27.00,542.00
05_07-10_46_49.870344,28.00,500.00
05_07-10_46_49.922909,27.00,451.00
05_07-10_46_49.972145,28.00,410.00
05_07-10_46_50.021845,27.00,385.00
05_07-10_46_50.074818,29.00,374.00
05_07-10_46_50.124198,27.00,366.00
