TIMESTAMP,HR,HRV,GSR
05_03-09_29_01.059589,645.00,364.00
05_03-09_29_01.063571,646.00,550.00
05_03-09_29_01.067589,647.00,548.00
05_03-09_29_01.071567,644.00,537.00
05_03-09_29_01.075584,646.00,548.00
05_03-09_29_01.079563,645.00,436.00
05_03-09_29_01.083575,645.00,391.00
05_03-09_29_01.088557,646.00,375.00
05_03-09_29_01.093555,645.00,364.00
TEST KEY FRAME
05_03-09_29_01.097571,64643.00,506.00
05_03-09_29_02.723148,641.00,421.00
05_03-09_29_02.777860,642.00,346.00
05_03-09_29_02.823833,641.00,328.00
05_03-09_29_02.871927,643.00,342.00
05_03-09_29_02.927497,640.00,374.00
05_03-09_29_02.977734,642.00,464.00
05_03-09_29_03.029831,640.00,548.00
05_03-09_29_03.078996,642.00,527.00
05_03-09_29_03.128182,640.00,511.00
05_03-09_29_03.182055,641.00,486.00
05_03-09_29_03.231525,639.00,483.00
05_03-09_29_03.297767,639.00,507.00
05_03-09_29_03.333391,639.00,527.00
05_03-09_29_03.383038,639.00,518.00
05_03-09_29_03.432556,640.00,504.00
05_03-09_29_03.485553,638.00,495.00
05_03-09_29_03.528595,640.00,487.00
05_03-09_29_03.588039,638.00,486.00
05_03-09_29_03.637284,641.00,484.00
05_03-09_29_03.686674,638.00,482.00
05_03-09_29_03.739262,640.00,500.00
05_03-09_29_03.788354,638.00,543.00
05_03-09_29_03.837739,640.00,544.00
05_03-09_29_03.891021,637.00,527.00
05_03-09_29_03.940576,639.00,533.00
05_03-09_29_03.993493,637.00,534.00
05_03-09_29_04.042587,638.00,548.00
05_03-09_29_04.092299,637.00,544.00
05_03-09_29_04.145452,637.00,540.00
05_03-09_29_04.196425,638.00,545.00
05_03-09_29_04.244154,636.00,538.00
05_03-09_29_04.297052,641.00,580.00
05_03-09_29_04.345976,638.00,542.00
05_03-09_29_04.399584,640.00,552.00
05_03-09_29_04.449012,638.00,550.00
05_03-09_29_04.498035,641.00,549.00
05_03-09_29_04.550162,636.00,516.00
05_03-09_29_04.600576,639.00,540.00
05_03-09_29_04.649627,638.00,539.00
05_03-09_29_04.701860,639.00,530.00
05_03-09_29_04.751692,639.00,522.00
05_03-09_29_04.804645,640.00,513.00
05_03-09_29_04.854489,640.00,515.00
05_03-09_29_04.903784,640.00,524.00
05_03-09_29_04.956258,643.00,527.00
05_03-09_29_05.005616,642.00,510.00
05_03-09_29_05.055528,645.00,493.00
05_03-09_29_05.108146,644.00,481.00
05_03-09_29_05.157582,648.00,475.00
05_03-09_29_05.210832,645.00,475.00
05_03-09_29_05.260148,649.00,471.00
05_03-09_29_05.309422,646.00,476.00
05_03-09_29_05.362527,650.00,536.00
05_03-09_29_05.414039,648.00,539.00
05_03-09_29_05.455130,649.00,540.00
05_03-09_29_05.514089,649.00,519.00
05_03-09_29_05.563242,649.00,509.00
05_03-09_29_05.616353,650.00,512.00
05_03-09_29_05.665476,649.00,522.00
05_03-09_29_05.715040,651.00,526.00
05_03-09_29_05.767955,649.00,521.00
05_03-09_29_05.818161,652.00,505.00
05_03-09_29_05.866411,649.00,497.00
05_03-09_29_05.919665,653.00,490.00
05_03-09_29_05.968501,649.00,535.00
05_03-09_29_06.021958,651.00,504.00
05_03-09_29_06.071000,649.00,500.00
05_03-09_29_06.119761,651.00,540.00
05_03-09_29_06.173551,649.00,543.00
05_03-09_29_06.222737,650.00,536.00
05_03-09_29_06.272422,649.00,542.00
05_03-09_29_06.325522,648.00,529.00
05_03-09_29_06.375313,649.00,530.00
05_03-09_29_06.428542,648.00,545.00
05_03-09_29_06.478069,650.00,517.00
05_03-09_29_06.525847,648.00,517.00
05_03-09_29_06.579615,650.00,509.00
05_03-09_29_06.628891,647.00,492.00
05_03-09_29_06.678272,652.00,616.00
05_03-09_29_06.731678,648.00,549.00
05_03-09_29_06.781798,651.00,550.00
05_03-09_29_06.833851,648.00,547.00
05_03-09_29_06.882435,648.00,572.00
05_03-09_29_06.932034,647.00,580.00
05_03-09_29_06.984641,647.00,547.00
05_03-09_29_07.034622,647.00,550.00
05_03-09_29_07.083225,646.00,545.00
05_03-09_29_07.130142,645.00,503.00
05_03-09_29_07.185772,645.00,447.00
05_03-09_29_07.239764,646.00,434.00
05_03-09_29_07.287515,644.00,421.00
05_03-09_29_07.336859,646.00,413.00
05_03-09_29_07.390095,643.00,417.00
05_03-09_29_07.439277,646.00,425.00
05_03-09_29_07.489472,643.00,433.00
05_03-09_29_07.542435,646.00,453.00
05_03-09_29_07.591837,642.00,525.00
05_03-09_29_07.644116,646.00,554.00
05_03-09_29_07.694266,643.00,541.00
05_03-09_29_07.743316,642.00,533.00
05_03-09_29_07.795893,642.00,514.00
05_03-09_29_07.845156,641.00,510.00
05_03-09_29_07.894832,643.00,527.00
05_03-09_29_07.947470,641.00,534.00
05_03-09_29_07.997293,643.00,522.00
05_03-09_29_08.049793,640.00,505.00
05_03-09_29_08.099448,643.00,488.00
05_03-09_29_08.148210,640.00,481.00
05_03-09_29_08.201381,643.00,484.00
05_03-09_29_08.250698,640.00,486.00
05_03-09_29_08.300942,642.00,545.00
05_03-09_29_08.353638,640.00,539.00
05_03-09_29_08.402799,641.00,537.00
05_03-09_29_08.455527,640.00,543.00
05_03-09_29_08.504585,640.00,525.00
05_03-09_29_08.554878,641.00,528.00
05_03-09_29_08.607674,641.00,547.00
05_03-09_29_08.656839,642.00,519.00
05_03-09_29_08.705941,640.00,516.00
05_03-09_29_08.760258,644.00,512.00
05_03-09_29_08.803266,642.00,501.00
05_03-09_29_08.860834,646.00,497.00
05_03-09_29_08.938681,643.00,489.00
05_03-09_29_08.959968,647.00,497.00
05_03-09_29_09.013132,645.00,542.00
05_03-09_29_09.062618,648.00,538.00
05_03-09_29_09.111525,646.00,535.00
05_03-09_29_09.164450,648.00,531.00
05_03-09_29_09.213837,649.00,519.00
05_03-09_29_09.263062,649.00,533.00
05_03-09_29_09.315898,651.00,549.00
05_03-09_29_09.365240,650.00,517.00
05_03-09_29_09.418833,652.00,522.00
05_03-09_29_09.467784,651.00,507.00
05_03-09_29_09.517532,655.00,494.00
05_03-09_29_09.570266,652.00,493.00
05_03-09_29_09.619477,656.00,571.00
05_03-09_29_09.668650,650.00,540.00
05_03-09_29_09.721801,656.00,536.00
05_03-09_29_09.770980,653.00,540.00
05_03-09_29_09.825126,655.00,546.00
05_03-09_29_09.873359,654.00,516.00
05_03-09_29_09.922522,655.00,493.00
05_03-09_29_09.975696,654.00,506.00
05_03-09_29_10.025563,654.00,512.00
05_03-09_29_10.075109,655.00,506.00
05_03-09_29_10.128284,654.00,490.00
05_03-09_29_10.177452,656.00,476.00
05_03-09_29_10.229768,654.00,469.00
05_03-09_29_10.280152,657.00,463.00
05_03-09_29_10.327049,654.00,461.00
05_03-09_29_10.381918,657.00,474.00
05_03-09_29_10.431494,654.00,531.00
05_03-09_29_10.481701,656.00,540.00
05_03-09_29_10.533131,654.00,549.00
05_03-09_29_10.582963,655.00,523.00
05_03-09_29_10.635452,654.00,526.00
05_03-09_29_10.685332,654.00,534.00
05_03-09_29_10.734466,655.00,540.00
05_03-09_29_10.787492,653.00,526.00
05_03-09_29_10.836975,655.00,504.00
05_03-09_29_10.886169,653.00,490.00
05_03-09_29_10.939405,656.00,483.00
05_03-09_29_10.988548,653.00,483.00
05_03-09_29_11.041781,656.00,483.00
05_03-09_29_11.090952,653.00,480.00
05_03-09_29_11.139621,655.00,477.00
05_03-09_29_11.192993,653.00,474.00
05_03-09_29_11.242463,655.00,498.00
05_03-09_29_11.291686,654.00,704.00
05_03-09_29_11.344894,655.00,721.00
05_03-09_29_11.394065,653.00,662.00
05_03-09_29_11.447437,653.00,589.00
05_03-09_29_11.496465,653.00,552.00
05_03-09_29_11.546120,652.00,466.00
05_03-09_29_11.599509,653.00,441.00
05_03-09_29_11.648996,651.00,433.00
05_03-09_29_11.698140,654.00,434.00
05_03-09_29_11.750530,651.00,433.00
05_03-09_29_11.799620,654.00,436.00
05_03-09_29_11.852870,651.00,445.00
05_03-09_29_11.902657,653.00,448.00
05_03-09_29_11.952017,651.00,448.00
05_03-09_29_12.005096,653.00,455.00
05_03-09_29_12.054545,650.00,457.00
05_03-09_29_12.103150,651.00,458.00
05_03-09_29_12.156927,651.00,501.00
05_03-09_29_12.209411,650.00,538.00
05_03-09_29_12.253677,651.00,549.00
05_03-09_29_12.308519,653.00,557.00
05_03-09_29_12.357267,652.00,535.00
05_03-09_29_12.409303,650.00,535.00
05_03-09_29_12.459180,653.00,536.00
05_03-09_29_12.509211,650.00,548.00
05_03-09_29_12.561404,653.00,522.00
05_03-09_29_12.609907,650.00,527.00
05_03-09_29_12.664011,654.00,531.00
05_03-09_29_12.712927,651.00,522.00
05_03-09_29_12.762435,654.00,515.00
05_03-09_29_12.816673,652.00,510.00
05_03-09_29_12.864422,653.00,502.00
05_03-09_29_12.913530,654.00,495.00
05_03-09_29_12.967223,653.00,490.00
05_03-09_29_13.016230,654.00,480.00
05_03-09_29_13.069329,654.00,491.00
05_03-09_29_13.118625,655.00,542.00
05_03-09_29_13.167841,654.00,545.00
05_03-09_29_13.220898,657.00,553.00
05_03-09_29_13.270237,654.00,539.00
05_03-09_29_13.319551,658.00,546.00
05_03-09_29_13.372470,655.00,539.00
05_03-09_29_13.422145,658.00,540.00
05_03-09_29_13.474818,656.00,545.00
05_03-09_29_13.524039,658.00,529.00
05_03-09_29_13.573004,657.00,511.00
05_03-09_29_13.626328,658.00,504.00
05_03-09_29_13.675563,657.00,492.00
05_03-09_29_13.724779,657.00,483.00
05_03-09_29_13.777932,658.00,481.00
05_03-09_29_13.828862,657.00,475.00
05_03-09_29_13.880084,660.00,473.00
05_03-09_29_13.929451,658.00,466.00
05_03-09_29_13.978696,661.00,469.00
05_03-09_29_14.031517,660.00,685.00
05_03-09_29_14.081067,662.00,700.00
05_03-09_29_14.130280,660.00,653.00
05_03-09_29_14.183449,663.00,585.00
05_03-09_29_14.232208,658.00,497.00
05_03-09_29_14.282136,660.00,429.00
05_03-09_29_14.336426,659.00,428.00
05_03-09_29_14.384289,659.00,435.00
05_03-09_29_14.436738,659.00,439.00
05_03-09_29_14.484941,658.00,434.00
05_03-09_29_14.534375,660.00,435.00
05_03-09_29_14.588002,658.00,441.00
05_03-09_29_14.640172,660.00,446.00
05_03-09_29_14.686356,657.00,452.00
05_03-09_29_14.740568,661.00,458.00
05_03-09_29_14.788773,657.00,456.00
05_03-09_29_14.841178,660.00,459.00
05_03-09_29_14.890968,657.00,466.00
05_03-09_29_14.940340,660.00,538.00
05_03-09_29_14.993545,661.00,552.00
05_03-09_29_15.043097,662.00,554.00
05_03-09_29_15.092182,659.00,542.00
05_03-09_29_15.147121,659.00,515.00
05_03-09_29_15.196254,660.00,512.00
05_03-09_29_15.249532,660.00,529.00
05_03-09_29_15.299657,662.00,543.00
05_03-09_29_15.349681,661.00,535.00
05_03-09_29_15.402253,664.00,540.00
05_03-09_29_15.451226,661.00,534.00
05_03-09_29_15.499384,665.00,546.00
05_03-09_29_15.554044,663.00,542.00
05_03-09_29_15.603741,666.00,529.00
05_03-09_29_15.647986,663.00,514.00
05_03-09_29_15.706205,666.00,493.00
05_03-09_29_15.755272,665.00,477.00
05_03-09_29_15.807585,666.00,510.00
05_03-09_29_15.854769,665.00,538.00
05_03-09_29_15.903902,665.00,533.00
05_03-09_29_15.957150,666.00,546.00
05_03-09_29_16.006174,666.00,529.00
05_03-09_29_16.059760,667.00,515.00
05_03-09_29_16.108696,669.00,568.00
05_03-09_29_16.157759,670.00,668.00
05_03-09_29_16.210687,667.00,632.00
05_03-09_29_16.260259,667.00,485.00
05_03-09_29_16.309488,666.00,376.00
05_03-09_29_16.362593,668.00,364.00
05_03-09_29_16.411813,666.00,397.00
05_03-09_29_16.464066,668.00,358.00
05_03-09_29_16.514100,666.00,334.00
05_03-09_29_16.563674,667.00,381.00
05_03-09_29_16.615524,667.00,420.00
05_03-09_29_16.665351,666.00,452.00
05_03-09_29_16.715077,667.00,535.00
05_03-09_29_16.768166,666.00,541.00
05_03-09_29_16.818261,668.00,537.00
05_03-09_29_16.870284,666.00,546.00
05_03-09_29_16.919230,670.00,547.00
05_03-09_29_16.968855,666.00,545.00
05_03-09_29_17.022260,670.00,545.00
05_03-09_29_17.071382,667.00,531.00
05_03-09_29_17.120465,669.00,539.00
05_03-09_29_17.172938,667.00,530.00
05_03-09_29_17.223193,669.00,517.00
05_03-09_29_17.275070,668.00,543.00
05_03-09_29_17.330472,668.00,540.00
05_03-09_29_17.366435,668.00,541.00
05_03-09_29_17.429638,667.00,539.00
05_03-09_29_17.478796,668.00,547.00
05_03-09_29_17.527989,667.00,519.00
05_03-09_29_17.581115,672.00,582.00
05_03-09_29_17.631345,669.00,722.00
05_03-09_29_17.681684,671.00,730.00
05_03-09_29_17.731096,666.00,363.00
05_03-09_29_17.781831,669.00,409.00
05_03-09_29_17.836964,666.00,462.00
05_03-09_29_17.883458,669.00,496.00
05_03-09_29_17.932946,667.00,517.00
05_03-09_29_17.984716,668.00,521.00
05_03-09_29_18.033736,667.00,506.00
05_03-09_29_18.087153,667.00,498.00
05_03-09_29_18.136272,667.00,489.00
05_03-09_29_18.187457,666.00,489.00
05_03-09_29_18.240625,667.00,495.00
05_03-09_29_18.290536,665.00,497.00
05_03-09_29_18.337722,667.00,507.00
05_03-09_29_18.390142,665.00,511.00
05_03-09_29_18.439017,667.00,544.00
05_03-09_29_18.492658,664.00,544.00
05_03-09_29_18.542093,666.00,549.00
05_03-09_29_18.590939,663.00,549.00
05_03-09_29_18.645103,666.00,541.00
05_03-09_29_18.697338,663.00,543.00
05_03-09_29_18.762149,665.00,545.00
05_03-09_29_18.819817,663.00,543.00
05_03-09_29_18.870823,663.00,541.00
05_03-09_29_18.908753,662.00,542.00
05_03-09_29_18.950728,662.00,536.00
05_03-09_29_18.993703,663.00,540.00
05_03-09_29_19.040108,662.00,537.00
05_03-09_29_19.101085,664.00,527.00
05_03-09_29_19.144629,661.00,534.00
05_03-09_29_19.197061,664.00,516.00
05_03-09_29_19.252359,660.00,521.00
05_03-09_29_19.309878,664.00,533.00
05_03-09_29_19.355700,660.00,545.00
05_03-09_29_19.404473,663.00,544.00
05_03-09_29_19.459249,663.00,599.00
05_03-09_29_19.509291,662.00,673.00
05_03-09_29_19.557048,661.00,617.00
05_03-09_29_19.608111,659.00,480.00
05_03-09_29_19.658992,660.00,304.00
05_03-09_29_19.711418,660.00,264.00
05_03-09_29_19.759713,660.00,264.00
05_03-09_29_19.809654,659.00,287.00
05_03-09_29_19.862745,662.00,323.00
05_03-09_29_19.911909,659.00,375.00
05_03-09_29_19.961047,662.00,450.00
05_03-09_29_20.013303,659.00,462.00
05_03-09_29_20.062232,662.00,455.00
05_03-09_29_20.116509,660.00,508.00
05_03-09_29_20.166460,662.00,545.00
05_03-09_29_20.215543,660.00,545.00
