TIMESTAMP,HR,HRV,GSR
05_06-12_43_47.438194,488.00,506.00
05_06-12_43_47.438194,492.00,477.00
05_06-12_43_47.453800,491.00,543.00
05_06-12_43_47.453800,488.00,549.00
05_06-12_43_47.453800,489.00,523.00
05_06-12_43_47.453800,489.00,525.00
05_06-12_43_47.453800,488.00,535.00
05_06-12_43_47.469425,490.00,531.00
05_06-12_43_47.469425,488.00,506.00
05_06-12_43_47.469425,492.00,477.00
05_06-12_43_47.485050,488.483.00,551.00
05_06-12_43_49.069376,487.00,543.00
05_06-12_43_49.116332,482.00,551.00
05_06-12_43_49.178775,487.00,501.00
05_06-12_43_49.225645,481.00,452.00
05_06-12_43_49.272572,487.00,427.00
05_06-12_43_49.319360,482.00,453.00
05_06-12_43_49.413132,486.00,475.00
05_06-12_43_49.428756,482.00,461.00
05_06-12_43_49.475599,484.00,426.00
05_06-12_43_49.522556,481.00,399.00
05_06-12_43_49.584978,482.00,389.00
05_06-12_43_49.631867,481.00,383.00
05_06-12_43_49.678793,481.00,383.00
05_06-12_43_49.725665,483.00,381.00
05_06-12_43_49.788845,481.00,423.00
05_06-12_43_49.841404,485.00,546.00
05_06-12_43_49.891290,480.00,549.00
05_06-12_43_49.940012,486.00,544.00
05_06-12_43_49.993101,480.00,543.00
05_06-12_43_50.043358,485.00,545.00
05_06-12_43_50.095347,479.00,544.00
05_06-12_43_50.145264,484.00,542.00
05_06-12_43_50.193971,480.00,548.00
05_06-12_43_50.247865,483.00,531.00
05_06-12_43_50.296906,480.00,492.00
05_06-12_43_50.345685,480.00,452.00
05_06-12_43_50.401147,480.00,432.00
05_06-12_43_50.448398,480.00,432.00
05_06-12_43_50.497611,482.00,414.00
05_06-12_43_50.587576,480.00,405.00
05_06-12_43_50.600563,484.00,513.00
05_06-12_43_50.658126,481.00,556.00
05_06-12_43_50.718946,485.00,544.00
05_06-12_43_50.746844,479.00,543.00
05_06-12_43_50.803091,485.00,541.00
05_06-12_43_50.852979,479.00,551.00
05_06-12_43_50.899860,485.00,544.00
05_06-12_43_50.946726,480.00,541.00
05_06-12_43_50.993679,483.00,530.00
05_06-12_43_51.056100,480.00,510.00
05_06-12_43_51.102970,481.00,469.00
05_06-12_43_51.149841,481.00,438.00
05_06-12_43_51.196795,481.00,425.00
05_06-12_43_51.259212,483.00,413.00
05_06-12_43_51.306083,481.00,403.00
05_06-12_43_51.352951,486.00,416.00
05_06-12_43_51.417867,482.00,547.00
05_06-12_43_51.458249,487.00,547.00
05_06-12_43_51.500748,482.00,548.00
05_06-12_43_51.563173,489.00,550.00
05_06-12_43_51.610074,483.00,542.00
05_06-12_43_51.656945,489.00,548.00
05_06-12_43_51.703797,483.00,544.00
05_06-12_43_51.766314,487.00,551.00
05_06-12_43_51.813185,484.00,525.00
05_06-12_43_51.860056,485.00,516.00
05_06-12_43_51.906983,484.00,484.00
05_06-12_43_51.953864,484.00,452.00
05_06-12_43_52.016268,486.00,435.00
05_06-12_43_52.063169,484.00,418.00
05_06-12_43_52.130128,488.00,409.00
05_06-12_43_52.164316,484.00,504.00
05_06-12_43_52.211185,491.00,560.00
05_06-12_43_52.273714,484.00,545.00
05_06-12_43_52.320584,490.00,544.00
05_06-12_43_52.367456,483.00,543.00
